symbol,date,move_pct,market_median_move_pct
ADANIPOWER,2025-09-22,-76.0,0.61
AIIL,2026-01-13,-78.4,0.02
ANANDRATHI,2026-06-03,-49.6,0.32
ANGELONE,2026-02-26,-90.1,0.06
BEML,2025-11-03,-50.3,0.53
CAMS,2025-12-05,-80.4,0.12
ECLERX,2026-03-13,-50.0,2.75
GODFRYPHLP,2025-09-16,-64.4,0.45
HDFCAMC,2025-11-26,-49.8,1.08
IRB,2026-03-30,-45.9,2.89
KOTAKBANK,2026-01-14,-80.3,0.1
LALPATHLAB,2025-12-19,-50.2,1.07
LICI,2026-05-29,-50.4,1.28
MCX,2026-01-02,-79.8,0.72
NUVAMA,2025-12-26,-80.4,0.36
PATANJALI,2025-09-11,-66.8,0.01
PIDILITIND,2025-09-23,-51.0,0.48
TATAINVEST,2025-10-14,-89.6,0.94
VEDL,2026-04-30,-64.9,0.88
ZFCVINDIA,2026-06-24,-83.5,0.07
ZYDUSWELL,2025-09-18,-79.8,0.02
