date,sector,close
2025-01-01,NIFTY NEXT 50,68247.95
2025-01-01,NIFTY 100,24595.7
2025-01-01,NIFTY 200,13462.45
2025-01-01,NIFTY MIDCAP 50,16051.95
2025-01-01,NIFTY MIDCAP 100,57450.9
2025-01-01,NIFTY SMALLCAP 100,18959.8
2025-01-01,NIFTY50 DIVIDEND POINTS,233.03
2025-01-01,NIFTY AUTO,23139.55
2025-01-01,NIFTY BANK,51060.6
2025-01-01,NIFTY ENERGY,35430.45
2025-01-01,NIFTY FINANCIAL SERVICES,23619.95
2025-01-01,NIFTY FMCG,57017.65
2025-01-01,NIFTY IT,43373.1
2025-01-01,NIFTY MEDIA,1832.65
2025-01-01,NIFTY METAL,8639.9
2025-01-01,NIFTY MNC,28104.75
2025-01-01,NIFTY PHARMA,23459.75
2025-01-01,NIFTY PSU BANK,6546.65
2025-01-01,NIFTY REALTY,1040.65
2025-01-01,NIFTY INDIA CONSUMPTION,11429.7
2025-01-01,NIFTY COMMODITIES,8119.75
2025-01-01,NIFTY DIVIDEND OPPORTUNITIES 50,6288.85
2025-01-01,NIFTY INFRASTRUCTURE,8500.45
2025-01-01,NIFTY PSE,9561.85
2025-01-01,NIFTY SERVICES SECTOR,31527.0
2025-01-01,NIFTY50 SHARIAH,5052.3
2025-01-01,NIFTY500 SHARIAH,7489.7
2025-01-01,NIFTY LOW VOLATILITY 50,23685.65
2025-01-01,NIFTY ALPHA 50,56743.3
2025-01-01,NIFTY HIGH BETA 50,3562.4
2025-01-01,NIFTY100 EQUAL WEIGHT,31452.65
2025-01-01,NIFTY100 LIQUID 15,6223.35
2025-01-01,NIFTY CPSE,6106.85
2025-01-01,NIFTY50 VALUE 20,13445.85
2025-01-01,NIFTY MIDCAP LIQUID 15,14550.6
2025-01-01,NIFTY SHARIAH 25,8475.35
2025-01-01,NIFTY GROWTH SECTORS 15,11907.55
2025-01-01,NIFTY50 TR 1X INVERSE,174.7
2025-01-01,NIFTY50 TR 2X LEVERAGE,19007.8
2025-01-01,NIFTY50 PR 1X INVERSE,210.9
2025-01-01,NIFTY50 PR 2X LEVERAGE,13020.95
2025-01-01,NIFTY100 QUALITY 30,5558.95
2025-01-01,NIFTY500 MULTICAP MOMENTUM QUALITY 50,45301.6
2025-01-01,NIFTY TOP 15 EQUAL WEIGHT,9664.65
2025-01-01,NIFTY TOP 20 EQUAL WEIGHT,8830.95
2025-01-01,NIFTY500 QUALITY 50,19761.5
2025-01-01,NIFTY500 LOW VOLATILITY 50,20115.13
2025-01-01,NIFTY100 ESG,4711.85
2025-01-01,NIFTY100 ENHANCED ESG,4747.15
2025-01-01,NIFTY500 VALUE 50,13511.85
2025-01-01,NIFTY100 ALPHA 30,18513.05
2025-01-01,NIFTY50 EQUAL WEIGHT,29460.0
2025-01-01,NIFTY500 EQUAL WEIGHT,14318.2
2025-01-01,NIFTY 50 FUTURES INDEX,6472.72
2025-01-01,NIFTY 50 ARBITRAGE,2424.61
2025-01-01,NIFTY 50 FUTURES TR INDEX,25537.64
2025-01-01,NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP,34673.52
2025-01-01,NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP,7590.08
2025-01-01,NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP,18438.57
2025-01-01,NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP,16421.65
2025-01-01,NIFTY PRIVATE BANK,24893.55
2025-01-01,NIFTY SMALLCAP 50,9008.3
2025-01-01,NIFTY MIDSMALLCAP 400,20105.55
2025-01-01,NIFTY MIDCAP 150,21246.5
2025-01-01,NIFTY IPO,2245.9
2025-01-01,NIFTY MIDCAP SELECT,12934.75
2025-01-01,NIFTY LARGEMIDCAP 250,15786.1
2025-01-01,NIFTY SME EMERGE,16821.94
2025-01-01,NIFTY OIL & GAS,10771.95
2025-01-01,NIFTY FINANCIAL SERVICES 25/50,25226.5
2025-01-01,NIFTY HEALTHCARE INDEX,14998.9
2025-01-01,NIFTY500 MULTICAP 50:25:25,15880.5
2025-01-01,NIFTY MICROCAP 250,25339.0
2025-01-01,NIFTY TOTAL MARKET,12697.15
2025-01-01,NIFTY INDIA DIGITAL,9719.15
2025-01-01,NIFTY MOBILITY,19749.15
2025-01-01,NIFTY INDIA DEFENCE,6541.6
2025-01-01,NIFTY FINANCIAL SERVICES EX-BANK,25331.0
2025-01-01,NIFTY HOUSING,11061.2
2025-01-01,NIFTY TRANSPORTATION & LOGISTICS,22407.85
2025-01-01,NIFTY MIDSMALL FINANCIAL SERVICES,15912.55
2025-01-01,NIFTY MIDSMALL HEALTHCARE,44450.5
2025-01-01,NIFTY MIDSMALL IT & TELECOM,11110.25
2025-01-01,NIFTY MIDSMALL INDIA CONSUMPTION,20549.6
