symbol,last_session,days_stale
SGIL-RE,2024-09-30,708
NARMA-RE,2024-10-03,705
TIDEWATER,2024-10-08,700
LAXMIMACH,2024-10-09,699
IDFC,2024-10-09,699
CENTURYTEX,2024-10-09,699
TV18BRDCST,2024-10-15,693
MITTAL-RE1,2024-10-16,692
GEOJIT-RE,2024-10-17,691
SHREYAS,2024-10-22,686
JUBLINDS,2024-10-25,683
GET&D,2024-11-04,673
JETAIRWAYS,2024-11-07,670
HINDWAR-RE,2024-11-18,659
BKMINDST,2024-11-25,652
REVATHIEQU,2024-11-25,652
NAVINIFTY,2024-11-28,649
NTL,2024-12-02,645
IIFLSEC,2024-12-02,645
VISESHINFO,2024-12-02,645
GMRINFRA,2024-12-10,637
UPL-RE,2024-12-11,636
VHLTD-RE,2024-12-18,629
HBLPOWER,2024-12-20,627
AVON-RE,2024-12-30,617
SIKKO-RE,2025-01-02,614
MOKSH-RE,2025-01-07,609
URAVI,2025-01-15,601
GLS,2025-01-17,599
CAMLIN-RE,2025-01-21,595
DHAN-RE,2025-01-23,593
CALSOFT-RE,2025-01-28,588
GLOBE-RE1,2025-01-31,585
TCLCONS,2025-02-06,579
THANG-RE,2025-02-25,560
JYOTI-RE1,2025-02-25,560
CAREERP,2025-03-19,538
ISEC,2025-03-21,536
ATFL,2025-03-27,530
AHL,2025-03-28,529
EBBETF0425,2025-04-08,518
HIL,2025-04-08,518
ZOMATO,2025-04-08,518
ADORWELD,2025-04-09,517
IRIS-RE,2025-04-09,517
MRO-TEK,2025-04-11,515
ABIN-RE1,2025-04-15,511
SECURCRED,2025-04-15,511
RBL,2025-04-21,505
FUSI-RE,2025-04-21,505
RANEENGINE,2025-04-21,505
BTML-RE1,2025-04-22,504
SUVENPHAR,2025-05-16,480
MAXIND-RE,2025-05-16,480
BASML-RE1,2025-05-19,477
AVANTEL-RE,2025-05-23,473
GATECH-RE1,2025-05-27,469
LLOYDS-RE1,2025-05-27,469
GATDVR-RE,2025-05-27,469
AMIORG,2025-05-30,466
M&MFIN-RE1,2025-06-03,462
TECHIN,2025-06-09,456
MAHLIFE-RE,2025-06-12,453
