Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,03-11-2025,25696.85,25803.1,25645.5,25763.35,41.25,.16,275858501,23949.88,22.67,3.52,1.29
Nifty Next 50,03-11-2025,69995.7,70544.75,69965.8,70483.3,658.55,.94,288719612,11849.91,20.86,3.67,1.33
Nifty 100,03-11-2025,26358.55,26483.3,26321.4,26445.85,76.35,.29,564578113,35799.79,22.35,3.55,1.29
Nifty 200,03-11-2025,14360.05,14435.65,14342.6,14416.35,54.05,.38,3576753707,54839.14,23.88,3.66,1.21
Nifty 500,03-11-2025,23711.95,23840.1,23695.15,23810.7,100.3,.42,4238426359,77447.88,24.7,3.7,1.14
Nifty Midcap 50,03-11-2025,17012.3,17173.7,16989.3,17135.65,129.35,.76,335827500,10791.74,34.74,4.48,.85
NIFTY Midcap 100,03-11-2025,59887.05,60400.5,59821.25,60287.4,461.5,.77,3012175594,19039.35,34.59,4.31,.84
NIFTY Smallcap 100,03-11-2025,18404.8,18550.4,18402.4,18513.4,132.6,.72,310182615,10498.1,32.03,3.99,.73
Nifty50 Dividend Points,03-11-2025,-,-,-,236.27,0.0,-,-,-,-,-,-
Nifty Auto,03-11-2025,26849.85,26991.4,26710.3,26841.8,31.95,.12,36488329,4188.55,27.74,4.85,1.11
Nifty Bank,03-11-2025,57726.85,58247.55,57718.4,58101.45,325.1,.56,204665357,8247.6,16.26,2.19,1
Nifty Energy,03-11-2025,36313.85,36518,36161.45,36445.15,169.2,.47,355063543,8644.41,15.82,2.37,2.2
Nifty Financial Services,03-11-2025,27093.45,27370.45,27086.7,27306.15,167.3,.62,111669410,11496.49,17.97,2.85,.96
Nifty FMCG,03-11-2025,56203.35,56384.7,55713.5,56153.7,-54.8,-.1,39143433,3201.57,41.28,10.12,2.07
Nifty IT,03-11-2025,35664.8,35742.8,35479.5,35653.05,-59.3,-.17,19125294,2942.63,25.26,6.67,3.13
Nifty Media,03-11-2025,1535.75,1547.1,1534.3,1541.0,2.65,.17,13320231,197.87,57.88,1.59,1.42
Nifty Metal,03-11-2025,10644.05,10720.45,10628.95,10652.8,40.65,.38,100449965,3389.18,20.11,2.78,1.64
Nifty MNC,03-11-2025,30232.75,30286.65,30085.6,30255.3,50.35,.17,42564725,5555.47,36.32,8.69,1.71
Nifty Pharma,03-11-2025,22187.1,22472.85,22154.95,22442.6,267.2,1.2,29083639,3473.91,34.35,4.86,.69
Nifty PSU Bank,03-11-2025,8235.4,8373.75,8224.4,8341.35,157.0,1.92,245238381,4549.02,8.54,1.36,2.25
Nifty Realty,03-11-2025,948.15,974.5,945.35,968.65,21.1,2.23,12515861,1478.01,46.02,4.68,.32
Nifty India Consumption,03-11-2025,12410.45,12458.15,12375.95,12446.0,30.45,.25,102254765,9865.11,42.14,8.4,1.06
Nifty Commodities,03-11-2025,9427.3,9481.25,9402.95,9450.8,42.75,.45,197871410,8621.99,17.51,2.26,1.72
