symbol,sector
360ONE,Financial Services
ABB,Capital Goods
ACC,Construction Materials
ACMESOLAR,Power
AIAENG,Capital Goods
APLAPOLLO,Capital Goods
AUBANK,Financial Services
AWL,Fast Moving Consumer Goods
AADHARHFC,Financial Services
AARTIIND,Chemicals
AAVAS,Financial Services
ABBOTINDIA,Healthcare
ACE,Capital Goods
ACUTAAS,Healthcare
ADANIENSOL,Power
ADANIENT,Metals & Mining
ADANIGREEN,Power
ADANIPORTS,Services
ADANIPOWER,Power
ATGL,Oil Gas & Consumable Fuels
ABCAPITAL,Financial Services
ABFRL,Consumer Services
ABLBL,Consumer Services
ABREL,Realty
ABSLAMC,Financial Services
CPPLUS,Capital Goods
AEGISLOG,Oil Gas & Consumable Fuels
AEGISVOPAK,Oil Gas & Consumable Fuels
AFCONS,Construction
AFFLE,Information Technology
AJANTPHARM,Healthcare
ALKEM,Healthcare
ABDL,Fast Moving Consumer Goods
ARE&M,Automobile and Auto Components
AMBER,Consumer Durables
AMBUJACEM,Construction Materials
ANANDRATHI,Financial Services
ANANTRAJ,Realty
ANGELONE,Financial Services
ANTHEM,Healthcare
ANURAS,Chemicals
APARINDS,Capital Goods
APOLLOHOSP,Healthcare
APOLLOTYRE,Automobile and Auto Components
APTUS,Financial Services
ASAHIINDIA,Automobile and Auto Components
ASHOKLEY,Capital Goods
ASIANPAINT,Consumer Durables
ASTERDM,Healthcare
ASTRAL,Capital Goods
ATHERENERG,Automobile and Auto Components
ATUL,Chemicals
AUROPHARMA,Healthcare
AIIL,Financial Services
DMART,Consumer Services
AXISBANK,Financial Services
BEML,Capital Goods
BLS,Consumer Services
BSE,Financial Services
BAJAJ-AUTO,Automobile and Auto Components
BAJFINANCE,Financial Services
BAJAJFINSV,Financial Services
BAJAJHLDNG,Financial Services
BAJAJHFL,Financial Services
BALKRISIND,Automobile and Auto Components
BALRAMCHIN,Fast Moving Consumer Goods
BANDHANBNK,Financial Services
BANKBARODA,Financial Services
BANKINDIA,Financial Services
MAHABANK,Financial Services
BATAINDIA,Consumer Durables
BAYERCROP,Chemicals
BELRISE,Automobile and Auto Components
BERGEPAINT,Consumer Durables
BDL,Capital Goods
BEL,Capital Goods
BHARATFORG,Automobile and Auto Components
BHEL,Capital Goods
BPCL,Oil Gas & Consumable Fuels
BHARTIARTL,Telecommunication
BHARTIHEXA,Telecommunication
BIKAJI,Fast Moving Consumer Goods
GROWW,Financial Services
BIOCON,Healthcare
BSOFT,Information Technology
BLUEDART,Services
BLUEJET,Healthcare
BLUESTARCO,Consumer Durables
BBTC,Fast Moving Consumer Goods
BOSCHLTD,Automobile and Auto Components
FIRSTCRY,Consumer Services
BRIGADE,Realty
BRITANNIA,Fast Moving Consumer Goods
MAPMYINDIA,Information Technology
CCL,Fast Moving Consumer Goods
CESC,Power
CGPOWER,Capital Goods
CIEINDIA,Automobile and Auto Components
CRISIL,Financial Services
CANFINHOME,Financial Services
CANBK,Financial Services
CANHLIFE,Financial Services
CAPLIPOINT,Healthcare
CGCL,Financial Services
CARBORUNIV,Capital Goods
CARTRADE,Consumer Services
CASTROLIND,Oil Gas & Consumable Fuels
CEATLTD,Automobile and Auto Components
CEMPRO,Construction
CENTRALBK,Financial Services
CDSL,Financial Services
CHALET,Consumer Services
CHAMBLFERT,Chemicals
CHENNPETRO,Oil Gas & Consumable Fuels
CHOICEIN,Financial Services
CHOLAHLDNG,Financial Services
CHOLAFIN,Financial Services
CIPLA,Healthcare
CUB,Financial Services
CLEAN,Chemicals
COALINDIA,Oil Gas & Consumable Fuels
COCHINSHIP,Capital Goods
COFORGE,Information Technology
COHANCE,Healthcare
COLPAL,Fast Moving Consumer Goods
CAMS,Financial Services
CONCORDBIO,Healthcare
CONCOR,Services
COROMANDEL,Chemicals
CRAFTSMAN,Automobile and Auto Components
CREDITACC,Financial Services
CROMPTON,Consumer Durables
CUMMINSIND,Capital Goods
CYIENT,Information Technology
DLF,Realty
DOMS,Fast Moving Consumer Goods
DABUR,Fast Moving Consumer Goods
DALBHARAT,Construction Materials
DATAPATTNS,Capital Goods
DEEPAKFERT,Chemicals
DEEPAKNTR,Chemicals
DELHIVERY,Services
DEVYANI,Consumer Services
DIVISLAB,Healthcare
DIXON,Consumer Durables
LALPATHLAB,Healthcare
DRREDDY,Healthcare
EIDPARRY,Fast Moving Consumer Goods
EIHOTEL,Consumer Services
EICHERMOT,Automobile and Auto Components
ELECON,Capital Goods
ELGIEQUIP,Capital Goods
EMAMILTD,Fast Moving Consumer Goods
EMCURE,Healthcare
EMMVEE,Capital Goods
ENDURANCE,Automobile and Auto Components
ENGINERSIN,Construction
ERIS,Healthcare
ESCORTS,Capital Goods
ETERNAL,Consumer Services
EXIDEIND,Automobile and Auto Components
NYKAA,Consumer Services
FEDERALBNK,Financial Services
FACT,Chemicals
FINCABLES,Capital Goods
FSL,Services
FIVESTAR,Financial Services
FORCEMOT,Automobile and Auto Components
FORTIS,Healthcare
GAIL,Oil Gas & Consumable Fuels
GVT&D,Capital Goods
GMRAIRPORT,Services
GABRIEL,Automobile and Auto Components
GALLANTT,Capital Goods
GRSE,Capital Goods
GICRE,Financial Services
GILLETTE,Fast Moving Consumer Goods
GLAND,Healthcare
GLAXO,Healthcare
GLENMARK,Healthcare
MEDANTA,Healthcare
GODIGIT,Financial Services
GPIL,Capital Goods
GODFRYPHLP,Fast Moving Consumer Goods
GODREJCP,Fast Moving Consumer Goods
GODREJPROP,Realty
GRANULES,Healthcare
GRAPHITE,Capital Goods
GRASIM,Construction Materials
GRAVITA,Metals & Mining
GESHIP,Services
FLUOROCHEM,Chemicals
GMDCLTD,Metals & Mining
HEG,Capital Goods
HBLENGINE,Capital Goods
HCLTECH,Information Technology
HDBFS,Financial Services
HDFCAMC,Financial Services
HDFCBANK,Financial Services
HDFCLIFE,Financial Services
HFCL,Telecommunication
HAVELLS,Consumer Durables
HEROMOTOCO,Automobile and Auto Components
HEXT,Information Technology
HSCL,Chemicals
HINDALCO,Metals & Mining
HAL,Capital Goods
HINDCOPPER,Metals & Mining
HINDPETRO,Oil Gas & Consumable Fuels
HINDUNILVR,Fast Moving Consumer Goods
HINDZINC,Metals & Mining
POWERINDIA,Capital Goods
HOMEFIRST,Financial Services
HONASA,Fast Moving Consumer Goods
HONAUT,Capital Goods
HUDCO,Financial Services
HYUNDAI,Automobile and Auto Components
ICICIBANK,Financial Services
ICICIGI,Financial Services
ICICIAMC,Financial Services
ICICIPRULI,Financial Services
IDBI,Financial Services
IDFCFIRSTB,Financial Services
IFCI,Financial Services
IIFL,Financial Services
IRB,Construction
IRCON,Construction
ITCHOTELS,Consumer Services
ITC,Fast Moving Consumer Goods
ITI,Telecommunication
INDGN,Healthcare
INDIACEM,Construction Materials
INDIAMART,Consumer Services
INDIANB,Financial Services
IEX,Financial Services
INDHOTEL,Consumer Services
IOC,Oil Gas & Consumable Fuels
IOB,Financial Services
IRCTC,Consumer Services
IRFC,Financial Services
IREDA,Financial Services
IGL,Oil Gas & Consumable Fuels
INDUSTOWER,Telecommunication
INDUSINDBK,Financial Services
NAUKRI,Consumer Services
INFY,Information Technology
INOXWIND,Capital Goods
INTELLECT,Information Technology
INDIGO,Services
IGIL,Services
IKS,Information Technology
IPCALAB,Healthcare
JKCEMENT,Construction Materials
JBMA,Automobile and Auto Components
JKTYRE,Automobile and Auto Components
JMFINANCIL,Financial Services
JSWCEMENT,Construction Materials
JSWDULUX,Consumer Durables
JSWENERGY,Power
JSWINFRA,Services
JSWSTEEL,Metals & Mining
JAINREC,Metals & Mining
JPPOWER,Power
J&KBANK,Financial Services
JINDALSAW,Capital Goods
JSL,Metals & Mining
JINDALSTEL,Metals & Mining
JIOFIN,Financial Services
JUBLFOOD,Consumer Services
JUBLINGREA,Chemicals
JUBLPHARMA,Healthcare
JWL,Capital Goods
JYOTICNC,Capital Goods
KPRMILL,Textiles
KEI,Capital Goods
KPITTECH,Information Technology
KAJARIACER,Consumer Durables
KPIL,Construction
KALYANKJIL,Consumer Durables
KARURVYSYA,Financial Services
KAYNES,Capital Goods
KEC,Construction
KFINTECH,Financial Services
KIRLOSENG,Capital Goods
KOTAKBANK,Financial Services
KIMS,Healthcare
LTF,Financial Services
LTTS,Information Technology
LGEINDIA,Consumer Durables
LICHSGFIN,Financial Services
LTFOODS,Fast Moving Consumer Goods
LTM,Information Technology
LT,Construction
LATENTVIEW,Information Technology
LAURUSLABS,Healthcare
THELEELA,Consumer Services
LEMONTREE,Consumer Services
LENSKART,Consumer Services
LICI,Financial Services
LINDEINDIA,Chemicals
LLOYDSME,Metals & Mining
LODHA,Realty
LUPIN,Healthcare
MMTC,Services
MRF,Automobile and Auto Components
MGL,Oil Gas & Consumable Fuels
M&MFIN,Financial Services
M&M,Automobile and Auto Components
MANAPPURAM,Financial Services
MRPL,Oil Gas & Consumable Fuels
MANKIND,Healthcare
MARICO,Fast Moving Consumer Goods
MARUTI,Automobile and Auto Components
MFSL,Financial Services
MAXHEALTH,Healthcare
MAZDOCK,Capital Goods
MEESHO,Consumer Services
MINDACORP,Automobile and Auto Components
MSUMI,Automobile and Auto Components
MOTILALOFS,Financial Services
MPHASIS,Information Technology
MCX,Financial Services
MUTHOOTFIN,Financial Services
NATCOPHARM,Healthcare
NBCC,Construction
NCC,Construction
NHPC,Power
NLCINDIA,Power
NMDC,Metals & Mining
NSLNISP,Metals & Mining
NTPCGREEN,Power
NTPC,Power
NH,Healthcare
NATIONALUM,Metals & Mining
NAVA,Power
NAVINFLUOR,Chemicals
NESTLEIND,Fast Moving Consumer Goods
NETWEB,Information Technology
NEULANDLAB,Healthcare
NEWGEN,Information Technology
NAM-INDIA,Financial Services
NIVABUPA,Financial Services
NUVAMA,Financial Services
NUVOCO,Construction Materials
OBEROIRLTY,Realty
ONGC,Oil Gas & Consumable Fuels
OIL,Oil Gas & Consumable Fuels
OLAELEC,Automobile and Auto Components
OLECTRA,Automobile and Auto Components
PAYTM,Financial Services
ONESOURCE,Healthcare
OFSS,Information Technology
POLICYBZR,Financial Services
PCBL,Chemicals
PGEL,Consumer Durables
PIIND,Chemicals
PNBHOUSING,Financial Services
PTCIL,Capital Goods
PVRINOX,Media Entertainment & Publication
PAGEIND,Textiles
PARADEEP,Chemicals
PATANJALI,Fast Moving Consumer Goods
PERSISTENT,Information Technology
PETRONET,Oil Gas & Consumable Fuels
PFIZER,Healthcare
PHOENIXLTD,Realty
PWL,Consumer Services
PIDILITIND,Chemicals
PINELABS,Financial Services
PIRAMALFIN,Financial Services
PPLPHARMA,Healthcare
POLYMED,Healthcare
POLYCAB,Capital Goods
POONAWALLA,Financial Services
PFC,Financial Services
