Company Name,Industry,Symbol,Series,ISIN Code
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
DLF Ltd.,Realty,DLF,EQ,INE271C01023
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039
