Company Name,Industry,Symbol,Series,ISIN Code
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
NHPC Ltd.,Power,NHPC,EQ,INE848E01016
NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014
NTPC Ltd.,Power,NTPC,EQ,INE733E01010
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010
SJVN Ltd.,Power,SJVN,EQ,INE002L01015
