symbol,sector,tier
ASHOKLEY,Automobile and Auto Components,A
BAJAJ-AUTO,Automobile and Auto Components,A
BHARATFORG,Automobile and Auto Components,A
BOSCHLTD,Automobile and Auto Components,A
EICHERMOT,Automobile and Auto Components,A
EXIDEIND,Automobile and Auto Components,A
HEROMOTOCO,Automobile and Auto Components,A
M&M,Automobile and Auto Components,A
MARUTI,Automobile and Auto Components,A
MOTHERSON,Automobile and Auto Components,A
SONACOMS,Automobile and Auto Components,A
TVSMOTOR,Automobile and Auto Components,A
TMPV,Automobile and Auto Components,A
TIINDIA,Automobile and Auto Components,A
UNOMINDA,Automobile and Auto Components,A
COFORGE,Information Technology,A
HCLTECH,Information Technology,A
INFY,Information Technology,A
LTM,Information Technology,A
MPHASIS,Information Technology,A
OFSS,Information Technology,A
PERSISTENT,Information Technology,A
TCS,Information Technology,A
TECHM,Information Technology,A
WIPRO,Information Technology,A
BRITANNIA,Fast Moving Consumer Goods,A
COLPAL,Fast Moving Consumer Goods,A
DABUR,Fast Moving Consumer Goods,A
EMAMILTD,Fast Moving Consumer Goods,A
GODREJCP,Fast Moving Consumer Goods,A
HINDUNILVR,Fast Moving Consumer Goods,A
ITC,Fast Moving Consumer Goods,A
MARICO,Fast Moving Consumer Goods,A
NESTLEIND,Fast Moving Consumer Goods,A
PATANJALI,Fast Moving Consumer Goods,A
RADICO,Fast Moving Consumer Goods,A
TATACONSUM,Fast Moving Consumer Goods,A
UBL,Fast Moving Consumer Goods,A
UNITDSPR,Fast Moving Consumer Goods,A
VBL,Fast Moving Consumer Goods,A
APLAPOLLO,Metals & Mining,A
ADANIENT,Metals & Mining,A
HINDALCO,Metals & Mining,A
HINDCOPPER,Metals & Mining,A
HINDZINC,Metals & Mining,A
JSWSTEEL,Metals & Mining,A
JSL,Metals & Mining,A
JINDALSTEL,Metals & Mining,A
LLOYDSME,Metals & Mining,A
NMDC,Metals & Mining,A
NATIONALUM,Metals & Mining,A
SAIL,Metals & Mining,A
TATASTEEL,Metals & Mining,A
VEDL,Metals & Mining,A
WELCORP,Metals & Mining,A
ABREL,Realty,A
ANANTRAJ,Realty,A
BRIGADE,Realty,A
DLF,Realty,A
GODREJPROP,Realty,A
LODHA,Realty,A
OBEROIRLTY,Realty,A
PHOENIXLTD,Realty,A
PRESTIGE,Realty,A
SOBHA,Realty,A
